Player ID,Year,Rnd,Player,Pos,PB,St,G,SB,College/Univ
145,2006,3,Anthony Smith,DB,0,1,76,1,Syracuse
146,2006,3,Willie Reid,WR,0,0,7,0,Florida St.
147,2006,4,Willie Colon,G,0,6,100,1,Hofstra
148,2006,4,Orien Harris,DT,0,0,20,0,Miami (FL)
149,2006,5,Omar Jacobs,QB,0,0,,0,Bowling Green
150,2006,5,Charles Davis,TE,0,0,,1,Purdue
151,2006,6,Marvin Philip,C,0,0,,0,California
152,2006,7,Cedric Humes,RB,0,0,,0,Virginia Tech
153,2005,1,Heath Miller,TE,2,11,168,2,Virginia
154,2005,2,Bryant McFadden,DB,0,3,96,2,Florida St.
155,2005,3,Trai Essex,T,0,1,76,2,Northwestern
156,2005,4,Fred Gibson,WR,0,0,,0,Georgia
157,2005,5,Rian Wallace,LB,0,0,16,1,Temple
158,2005,6,Chris Kemoeatu,G,0,3,75,1,Utah
159,2005,7,Shaun Nua,DE,0,0,,0,BYU
160,2005,7,Noah Herron,RB,0,0,23,1,Northwestern
161,2004,1,Ben Roethlisberger,QB,6,17,249,2,Miami (OH)
162,2004,2,Ricardo Colclough,DB,0,0,43,1,Tusculum
163,2004,3,Max Starks,T,0,6,125,2,Florida
164,2004,5,Nathaniel Adibi,DE,0,0,,0,Virginia Tech
165,2004,6,Bo Lacy,T,0,0,,0,Arkansas
166,2004,6,Matt Kranchick,TE,0,0,8,1,Penn St.
167,2004,6,Drew Caylor,C,0,0,,0,Stanford
168,2004,7,Eric Taylor,DT,0,0,1,0,Memphis
169,2003,1,Troy Polamalu HOF,DB,8,10,158,0,USC
170,2003,2,Alonzo Jackson,LB,0,0,18,0,Florida St.
171,2003,4,Ike Taylor,DB,0,9,174,2,Louisiana
172,2003,5,Brian St. Pierre,QB,0,0,3,0,Boston Col.
173,2003,7,J.T. Wall,RB,0,0,,0,Georgia
174,2002,1,Kendall Simmons,G,0,5,84,2,Auburn
175,2002,2,Antwaan Randle El,WR,0,4,143,1,Indiana
176,2002,3,Chris Hope,DB,1,7,163,1,Florida St.
177,2002,4,Larry Foote,LB,0,8,187,2,Michigan
178,2002,5,Verron Haynes,RB,0,0,68,1,Georgia
179,2002,6,Lee Mays,WR,0,0,49,0,Texas-El Paso
180,2002,7,LaVar Glover,DB,0,0,2,0,Cincinnati
181,2002,7,Brett Keisel,DE,1,8,156,2,BYU
182,2001,1,Casey Hampton,NT,5,11,173,2,Texas
183,2001,2,Kendrell Bell,LB,1,5,90,0,Georgia
184,2001,4,Mathias Nkwenti,T,0,0,2,0,Temple
185,2001,5,Chukky Okobi,C,0,0,78,1,Purdue
186,2001,6,Rodney Bailey,DE,0,0,84,0,Ohio St.
187,2001,6,Roger Knight,LB,0,0,48,0,Wisconsin
188,2001,7,Chris Taylor,WR,0,0,,0,Texas A&M
189,2000,1,Plaxico Burress,WR,0,10,148,0,Michigan St.
190,2000,2,Marvel Smith,T,1,7,111,2,Arizona St.
191,2000,3,Kendrick Clancy,DT,0,3,109,0,Mississippi
192,2000,3,Hank Poteat,DB,0,1,110,0,Pittsburgh
193,2000,4,Danny Farmer,WR,0,0,33,0,UCLA
194,2000,5,Clark Haggans,LB,0,7,172,1,Colorado St.
195,2000,5,Tee Martin,QB,0,0,3,0,Tennessee
196,2000,6,Chris Combs,DE,0,0,10,0,Duke
197,2000,6,Jason Gavadza,TE,0,0,,0,Kent St.
198,1999,1,Troy Edwards,WR,0,1,92,0,Louisiana Tech
199,1999,2,Scott Shields,DB,0,0,26,0,Weber St.
200,1999,3,Joey Porter,LB,4,11,188,1,Colorado St.
201,1999,3,Kris Farris,T,0,0,3,0,UCLA
202,1999,3,Amos Zereoue,RB,0,0,84,0,West Virginia
203,1999,4,Aaron Smith,DE,1,9,160,2,Northern Colorado
204,1999,5,Jerame Tuman,TE,0,2,123,1,Michigan
205,1999,5,Malcolm Johnson,WR,0,0,11,0,Notre Dame
206,1999,7,Antonio Dingle,DT,0,0,9,0,Virginia
207,1999,7,Chad Kelsay,LB,0,0,6,0,Nebraska
208,1999,7,Kris Brown,K,0,0,179,0,Nebraska
209,1998,1,Alan Faneca HOF,G,9,13,206,0,LSU
210,1998,2,Jeremy Staat,DE,0,0,31,0,Arizona St.
211,1998,3,Chris Conrad,T,0,0,17,0,Fresno St.
212,1998,3,Hines Ward,WR,4,13,217,2,Georgia
213,1998,4,Deshea Townsend,DB,0,4,191,2,Alabama
214,1998,4,Carlos King,RB,0,0,1,0,North Carolina St.
215,1998,5,Jason Simmons,DB,0,0,121,0,Arizona St.
